代稱	COST	字首	字尾	名稱	屬性	合鳴效果	[主]生命	[主]攻擊	[主]生命百分比	[主]攻擊百分比	[主]防禦百分比	[主]暴擊	[主]暴擊傷害	[主]共鳴效率	[主]冷凝加成	[主]熱熔加成	[主]導電加成	[主]氣動加成	[主]衍射加成	[主]湮滅加成	[主]治療效果加成百分比	[副]生命	[副]生命百分比	[副]攻擊	[副]攻擊百分比	[副]防禦	[副]防禦百分比	[副]暴擊	[副]暴擊傷害	[副]共鳴效率	[副]共鳴技能傷害加成	[副]普攻傷害加成	[副]重擊傷害加成	[副]共鳴解放傷害加成
冷凝 輝螢軍勢 凌陽1			凌陽1	輝螢軍勢	冷凝	凝夜白霜		150				22.00%											9.40%					9.30%	15.00%			7.90%	8.60%	
冷凝 巡哨機傀 凌陽2			凌陽2	巡哨機傀	冷凝	凝夜白霜		100							30.00%									60	10.10%	50		6.30%	13.80%					
冷凝 刺玫菇 凌陽3			凌陽3	刺玫菇	冷凝	凝夜白霜		100							30.00%							510		50			8.10%	8.70%					7.90%	
冷凝 寒霜陸龜 凌陽4			凌陽4	寒霜陸龜	冷凝	凝夜白霜	2280			18.00%														50	9.40%				12.60%	12.40%			8.60%	
冷凝 冷凝棱鏡 凌陽5			凌陽5	冷凝棱鏡	冷凝	凝夜白霜	2280			18.00%												390		50	7.90%	60		6.90%						
																																		
衍射 角 今汐1			今汐1	角	衍射	浮星祛暗		150					44.00%										9.40%	40						8.40%	7.10%			7.10%
衍射 青羽鷺 今汐2			今汐2	青羽鷺	衍射	浮星祛暗		100		30.00%													8.60%						12.60%		9.40%	10.90%	9.40%	
衍射 巡哨機傀 今汐3			今汐3	巡哨機傀	衍射	浮星祛暗		100											30.00%						11.60%		8.10%	6.30%		8.40%			8.60%	
衍射 寒霜陸龜 今汐4			今汐4	寒霜陸龜	衍射	浮星祛暗	2280			18.00%															7.90%	60		6.90%	16.20%				10.10%	
衍射 咕咕河豚 今汐5			今汐5	咕咕河豚	衍射	浮星祛暗	2280			18.00%													6.40%			60		7.50%	12.60%	10.80%				
																																		
氣動 飛廉之猩 忌炎1			忌炎1	飛廉之猩	氣動	嘯谷長風		150				22.00%										320			8.60%		12.80%		15.00%	10.80%				
氣動 戲猿 忌炎2			忌炎2	戲猿	氣動	嘯谷長風		100										30.00%					6.40%		7.90%			6.90%	12.60%				9.40%	
氣動 車刃鐮 忌炎3			忌炎3	車刃鐮	氣動	嘯谷長風		100										30.00%					7.90%		8.60%			6.90%	15.00%				8.60%	
氣動 呼咻咻 忌炎4			忌炎4	呼咻咻	氣動	嘯谷長風	2280			18.00%												430		50					18.60%		9.40%			7.90%
氣動 碎獠豬 忌炎5			忌炎5	碎獠豬	氣動	嘯谷長風	2280			18.00%												430			7.90%			6.30%			10.90%		8.60%	
																																		
冷凝 輝螢軍勢 凌陽now1			凌陽now1	輝螢軍勢	冷凝	凝夜白霜		150				22.00%											9.40%					9.30%	15.00%			7.90%	8.60%	
冷凝 巡哨機傀 凌陽now2			凌陽now2	巡哨機傀	冷凝	凝夜白霜		100							30.00%									60	10.10%	50		6.30%	13.80%					
冷凝 刺玫菇 凌陽now3			凌陽now3	刺玫菇	冷凝	凝夜白霜		100							30.00%							470		40	9.40%			9.90%				8.60%		
冷凝 寒霜陸龜 凌陽now4			凌陽now4	寒霜陸龜	冷凝	凝夜白霜	2280			18.00%														50	9.40%				12.60%	12.40%			8.60%	
冷凝 冷凝棱鏡 凌陽now5			凌陽now5	冷凝棱鏡	冷凝	凝夜白霜	2280			18.00%												390		50	7.90%	60		6.90%						
																																		
熱熔 燎照之騎 長離now1			長離now1	燎照之騎	熱熔	熔山裂谷		150				22.00%																9.30%			7.90%	9.40%	8.60%	10.90%
熱熔 暗鬃狼 長離now2			長離now2	暗鬃狼	熱熔	熔山裂谷		100								30.00%									10.10%			8.10%		7.60%	7.10%		7.90%	
熱熔 紫羽鷺 長離now3			長離now3	紫羽鷺	熱熔	熔山裂谷		100								30.00%									10.10%			6.90%	15.00%	9.20%	8.60%			
熱熔 通行燈偶 長離now4			長離now4	通行燈偶	熱熔	熔山裂谷	2280			18.00%												430						6.30%	13.80%		8.60%			10.10%
熱熔 驚蟄獵手 長離now5			長離now5	驚蟄獵手	熱熔	熔山裂谷	2280			18.00%																		6.30%	12.60%		8.60%		10.10%	9.40%
																																		
熱熔 燎照之騎 q3XLLDTaeF0			q3XLLDTaeF0	燎照之騎	熱熔	熔山裂谷		102				14.90%													9.40%		11.80%					8.60%		
熱熔 暗鬃狼 q3XLLDTaeF0			q3XLLDTaeF0	暗鬃狼	熱熔	熔山裂谷		36						11.50%																				10.10%
熱熔 綠熔蜥 q3XLLDTaeF0			q3XLLDTaeF0	綠熔蜥	熱熔	熔山裂谷		36						11.50%															17.40%					
熱熔 火鬃狼 q3XLLDTaeF0			q3XLLDTaeF0	火鬃狼	熱熔	熔山裂谷	456			3.60%																								
熱熔 衍射棱鏡 q3XLLDTaeF0			q3XLLDTaeF0	衍射棱鏡	熱熔	熔山裂谷	456			3.60%																								
																																		
熱熔 燎照之騎 長離WOm61FSKcyk			長離WOm61FSKcyk	燎照之騎	熱熔	熔山裂谷		150				22.00%																9.30%			7.90%	9.40%	8.60%	10.90%
熱熔 暗鬃狼 長離WOm61FSKcyk			長離WOm61FSKcyk	暗鬃狼	熱熔	熔山裂谷		100								30.00%						430		40				7.50%		10.80%				8.60%
熱熔 綠熔蜥 長離WOm61FSKcyk			長離WOm61FSKcyk	綠熔蜥	熱熔	熔山裂谷		100								30.00%						430				60		6.90%			10.10%		9.40%	
熱熔 衍射棱鏡 長離WOm61FSKcyk			長離WOm61FSKcyk	衍射棱鏡	熱熔	熔山裂谷	1185			9.30%														50										10.10%
熱熔 鳴泣戰士 長離WOm61FSKcyk			長離WOm61FSKcyk	鳴泣戰士	熱熔	熔山裂谷	1185			9.30%													9.40%		8.60%									
																																		
熱熔 燎照之騎 安可WOm61FSKcyk			安可WOm61FSKcyk	燎照之騎	熱熔	熔山裂谷		102				14.90%													9.40%		11.80%					8.60%		
熱熔 暗鬃狼 安可WOm61FSKcyk			安可WOm61FSKcyk	暗鬃狼	熱熔	熔山裂谷		36						11.50%																				10.10%
熱熔 綠熔蜥 安可WOm61FSKcyk			安可WOm61FSKcyk	綠熔蜥	熱熔	熔山裂谷		36						11.50%															17.40%					
熱熔 火鬃狼 安可WOm61FSKcyk			安可WOm61FSKcyk	火鬃狼	熱熔	熔山裂谷	456			3.60%																								
熱熔 衍射棱鏡 安可WOm61FSKcyk			安可WOm61FSKcyk	衍射棱鏡	熱熔	熔山裂谷	456			3.60%																								
																																		
理論1 衍射 角 暴擊		理論1	暴擊	角	衍射	浮星祛暗		150				22.00%												24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 衍射 角 暴傷		理論1	暴傷	角	衍射	浮星祛暗		150					44.00%											24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 衍射 青羽鷺 屬傷1		理論1	屬傷1	青羽鷺	衍射	浮星祛暗		100											30.00%					24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
